Sucursal,Canal,Cliente
SOLO DEPORTES MERLO 1,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES MERLO 2,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES MERLO 3,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES MICROCENTRO,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES MORENO 1,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES MORENO 2,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES MORON,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES PADUA,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES RAMOS MEJIA,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES SAN JUSTO,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES SAN MIGUEL,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES TRUJUI,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES VILLA CRESPO,MB,BLOISE Hnos.Soc.de H.
SOLO DEPORTES VILLA DEL PARQUE,MB,BLOISE Hnos.Soc.de H.
SOLO URBANO CABALLITO,MB,BLOISE Hnos.Soc.de H.
SOLO URBANO CAMPANA,MB,BLOISE Hnos.Soc.de H.
SOLO URBANO MARIANO ACOSTA,MB,BLOISE Hnos.Soc.de H.
SOLO URBANO MERLO,MB,BLOISE Hnos.Soc.de H.
SOLO URBANO MORENO,MB,BLOISE Hnos.Soc.de H.
SOLO URBANO SAN JUSTO,MB,BLOISE Hnos.Soc.de H.
SPORT 78 EX TIA,MB,GRAELLS NELSON A.
SPORT78 ALTO ROSARIO,MB,GRAELLS NELSON A.
SPORT78 DIGITAL,MB,GRAELLS NELSON A.
SPORT78 EX CITI,MB,GRAELLS NELSON A.
SPORT78 PALACE GARDEN,MB,GRAELLS NELSON A.
SPORT78 PORTAL ROSARIO,MB,GRAELLS NELSON A.
SPORT78 SAN MARTIN,MB,GRAELLS NELSON A.
SPORTING 8  (17),MB,ANTONIO LUQUIN S.A.
SPORTING CATAMARCA (49),MB,ANTONIO LUQUIN S.A.
SPORTING CONCEPCION  (13),MB,ANTONIO LUQUIN S.A.
SPORTING CORRIENTES (61),MB,ANTONIO LUQUIN S.A.
SPORTING DIAGONAL TAFI  (41),MB,ANTONIO LUQUIN S.A.
SPORTING JUJUY (8),MB,ANTONIO LUQUIN S.A.
SPORTING LA BANDA  (56),MB,ANTONIO LUQUIN S.A.
SPORTING LA RIOJA (34),MB,ANTONIO LUQUIN S.A.
SPORTING LIBERTAD SALTA (51),MB,ANTONIO LUQUIN S.A.
SPORTING LIBERTAD SAN JUAN  (55),MB,ANTONIO LUQUIN S.A.
SPORTING MENDOZA CENTRO  (28),MB,ANTONIO LUQUIN S.A.
SPORTING MUJER (7),MB,ANTONIO LUQUIN S.A.
SPORTING PALMARES (57),MB,ANTONIO LUQUIN S.A.
SPORTING PORTAL SALTA  (38),MB,ANTONIO LUQUIN S.A.
SPORTING PORTAL SANTIAGO  (43),MB,ANTONIO LUQUIN S.A.
SPORTING PORTAL TUCUMAN (31),MB,ANTONIO LUQUIN S.A.
SPORTING SALTA 2 (37),MB,ANTONIO LUQUIN S.A.
SPORTING SAN LUIS (30),ND,ANTONIO LUQUIN S.A.
SPORTING SAN MARTIN-MENDOZA  (32),MB,ANTONIO LUQUIN S.A.
SPORTING SAN PEDRO DE JUJUY  (44),MB,ANTONIO LUQUIN S.A.
SPORTING SAN RAFAEL-MENDOZA  (29),MB,ANTONIO LUQUIN S.A.
SPORTING SGO  (52),MB,ANTONIO LUQUIN S.A.
SPORTING SHOPPING MENDOZA (2),MB,ANTONIO LUQUIN S.A.
SPORTING TERMINAL  MENDOZA (9),MB,ANTONIO LUQUIN S.A.
SPORTING TERMINAL (23),MB,ANTONIO LUQUIN S.A.
SPORTING TUCUMAN PEAT.MENDOZA 9 (48),MB,ANTONIO LUQUIN S.A.
SPORTLINE ARIETA 3198 S J,MB,ISRAEL FELER S.A.
SPORTLINE ARIETA 3314,MB,ISRAEL FELER S.A.
SPORTLINE ATLANTICO SHOPPING,MB,JEROME LTDA.
SPORTLINE CANNING,MB,ISRAEL FELER S.A.
SPORTLINE DEVOTO SHOPPING,MB,ISRAEL FELER S.A.
SPORTLINE EZEIZA,MB,ISRAEL FELER S.A.
SPORTLINE FLORES,MB,ISRAEL FELER S.A.
SPORTLINE ILLIA SAN JUSTO,MB,ISRAEL FELER S.A.
SPORTLINE KIDS PUNTA SHOPPING,MB,JEROME LTDA.
SPORTLINE LAFERRERE,MB,ISRAEL FELER S.A.
SPORTLINE LANUS,MB,ISRAEL FELER S.A.
SPORTLINE LAS TOSCAS,MB,ISRAEL FELER S.A.
SPORTLINE MORON (25 DE MAYO 172),MB,ISRAEL FELER S.A.
SPORTLINE PILAR,MB,ISRAEL FELER S.A.
SPORTLINE PUNTA SHOPPING,MB,JEROME LTDA.
SPORTLINE QUILMES (Lavalle 525),MB,ISRAEL FELER S.A.
SPORTLINE SHOPPING SAN JUSTO,MB,ISRAEL FELER S.A.
SPORTLINE TORTUGAS,MB,ISRAEL FELER S.A.
SPORTLINE TRIUNVIRATO,MB,ISRAEL FELER S.A.
SPORTLINE WEB,MB,ISRAEL FELER S.A.
SPORTMAN SALTA METAN (39),MB,ANTONIO LUQUIN S.A.
SPORTMAN SANTIAGO (26),MB,ANTONIO LUQUIN S.A.
SPORTMAN TUCUMAN (1),MB,ANTONIO LUQUIN S.A.
SPORTMAN TUCUMAN AGUILARES (14),MB,ANTONIO LUQUIN S.A.
SPORTMAN TUCUMAN ALBERDI (15),MB,ANTONIO LUQUIN S.A.
SPORTMAN TUCUMAN BANDA RIO SALI (3),MB,ANTONIO LUQUIN S.A.
SPORTMAN TUCUMAN CONCEPCION (36),MB,ANTONIO LUQUIN S.A.
SPORTMAN TUCUMAN MONTEROS (12),MB,ANTONIO LUQUIN S.A.
SPORTMAN TUCUMAN TAFI VIEJO (16),MB,ANTONIO LUQUIN S.A.
SPORTMAN TUCUMAN YERBA BUENA (21),MB,ANTONIO LUQUIN S.A.
STADIO UNO Deposito SU,MB,MDQ LE SPORT S.A.
STADIO UNO Transito 2,MB,MDQ LE SPORT S.A.
Seven Sport - Varela,MB,TOP SPORT S.A
Sportline (Forleden San Justo),MB,ISRAEL FELER S.A.
Sportline (Moreno),MB,ISRAEL FELER S.A.
Sportline Del Solar,MB,ISRAEL FELER S.A.
Sportline Moron (Ex NSP),MB,ISRAEL FELER S.A.
TEAMSPORT,MB,GRAELLS NELSON A.
TEMPLO DEL FUTBOL NUEVO CENTRO,MB,ADOLFO ZAKIAN S.A.
TRIP Carilo,MB,MDQ LE SPORT S.A.
TRIP GESELL,MB,MDQ LE SPORT S.A.
TRIP General Roca,MB,MDQ LE SPORT S.A.
TRIP La Plata,MB,MDQ LE SPORT S.A.
TRIP MDQ Guemes,MB,MDQ LE SPORT S.A.
TRIP MERCEDES,MB,MDQ LE SPORT S.A.
TRIP Necochea,MB,MDQ LE SPORT S.A.
TRIP PEATONAL,MB,MDQ LE SPORT S.A.
TRIP Pinamar,MB,MDQ LE SPORT S.A.
TRIP Santa Rosa,MB,MDQ LE SPORT S.A.
Templo del Futbol - Unicenter,MB,ADOLFO ZAKIAN S.A.
Trip Digital,MB,MDQ LE SPORT S.A.
Trip Olavarria,MB,MDQ LE SPORT S.A.
Trip Tandil,MB,MDQ LE SPORT S.A.
WEB DEPOSITO TUCUMAN (45),MB,ANTONIO LUQUIN S.A.
WOKER 24 (11),MB,ANTONIO LUQUIN S.A.
WOKER 25 (18),MB,ANTONIO LUQUIN S.A.
WOKER CATAMARCA  (25),MB,ANTONIO LUQUIN S.A.
WOKER JUJUY (59),MB,ANTONIO LUQUIN S.A.
WOKER PALMARES  (64),MB,ANTONIO LUQUIN S.A.
WOKER RESISTENCIA (62),MB,ANTONIO LUQUIN S.A.
WOKER SALTA (19),MB,ANTONIO LUQUIN S.A.
WOKER SOLAR (58),MB,ANTONIO LUQUIN S.A.
