Sucursal,Canal,Cliente
MERCADOLIBRE NIKE DX,MB,DABRA
MOOV MAR DEL PLATA LURO,MB,DABRA
MOOV Mendoza Plaza,MB,DABRA
MV  ALTO AVELLANEDA 49,MB,DABRA
MV - 221 FLORES,MB,DABRA
MV - MERCADO LIBRE,MB,DABRA
MV 011 - Moron,MB,DABRA
MV 126 - Salta,MB,DABRA
MV 188 - QUILMES,MB,DABRA
MV 200 - CABALLITO,MB,DABRA
MV 210 - PARANA,MB,DABRA
MV 214 - SAN FERNANDO,MB,DABRA
MV 224 - RESISTENCIA,MB,DABRA
MV 226 - SANTA FE,MB,DABRA
MV 228 - VARELA,MB,DABRA
MV 229 - SANTIAGO DEL ESTERO,MB,DABRA
MV 230 - TUCUMAN,MB,DABRA
MV 231 - NEUQUEN,MB,DABRA
MV 232 - MORENO,MB,DABRA
MV 234 - P. BROWN,MB,DABRA
MV ABASTO 121,MB,DABRA
MV Alto Rosario 127,MB,DABRA
MV BELGRANO  165,MB,DABRA
MV CORDOBA 215,MB,DABRA
MV CORNER (Cordoba)  76,MB,DABRA
MV DIGITAL,MB,DABRA
MV FLORIDA II  102,MB,DABRA
MV LANUS II 77,MB,DABRA
MV LOMAS II 52,MB,DABRA
MV MERLO II 35,MB,DABRA
MV Mendoza 145,MB,DABRA
MV ROSARIO PEATONAL 166,MB,DABRA
MV SAN JUAN 159,MB,DABRA
MV SAN MIGUEL I 43,MB,DABRA
MV San Martin 148,MB,DABRA
MV UNICENTER,MB,DABRA
Macri Minas,MB,MACRI
Macri SC - Colonia,MB,MACRI
Macri SC 1- Plaza Italia,MB,MACRI
Macri SC 1- Union Energy - Calle,MB,MACRI
Macri SC 1- Union Energy - Mall,MB,MACRI
Macri Sport Life - Paysandu,MB,MACRI
Macri Treinta y Tres,MB,MACRI
Meli Sport center,MB,MACRI
NBA MARTINEZ - N01,MB,AMI MUSIC S.A.
NDIS MONTEVIDEO,ND,Nike Montevideo
